8	106.415
7	84.031
3	62.4147
3	72.4148
8	102.415
8	112.415
8	111.415
6	50.2686
4	95.4151
2	45.4146
8	71.4045
16	73.8718
6	68.893
27	42.0699
4	53.4146
5	56.2271
16	137.136
8	73.4039
2	30.4183
2	39.4149
14	42.3528
6	54.3885
30	222.229
9	89.3599
21	158.138
5	65.2547
8	180.416
2	37.4152
28	42.3046
8	71.4039
15	206.959
4	50.4146
4	95.4151
4	95.4151
11	35.4431
2	30.4183
8	105.191
16	157.337
2	30.4183
2	30.4183
2	30.4183
2	45.4146
2	30.4183
2	30.4183
14	108.356
5	67.4148
5	114.415
8	120.217
2	45.4146
18	133.238
8	42.1503
15	111.199
7	141.416
21	221.748
23	225.417
23	100.919
7	127.416
7	75.0849
10	160.479
12	166.835
13	123.353
10	170.468
4	90.4151
6	74.9282
12	59.8929
2	30.4183
36	222.287
2	30.4183
2	30.4183
2	30.4183
2	33.4163
5	45.4146
3	72.4148
2	41.4148
6	134.416
2	30.4183
2	30.4183
2	30.4183
5	51.0082
8	49.124
2	30.4183
18	49.8013
5	92.4151
5	91.4151
6	104.415
6	41.5591
9	31.4114
12	61.0897
2	45.4146
9	196.416
11	100.375
21	217.805
2	30.4183
7	117.415
9	71.3858
4	89.4151
23	114.179
2	30.4183
2	30.4183
7	75.315
21	220.357
7	136.416
7	58.395
17	127.393
2	30.4183
3	70.4148
2	37.4152
2	31.4175
3	32.9036
3	32.9036
8	65.4045
10	142.416
10	157.416
10	161.416
10	150.416
10	109.415
2	30.4183
2	30.4183
5	114.415
5	63.2272
10	128.416
24	103.757
24	39.8567
19	222.178
10	145.59
6	30.9312
17	154.379
12	163.239
12	37.2919
11	63.056
14	106.398
12	102.405
3	66.4148
23	51.3096
16	71.7802
18	166.402
8	58.2695
17	225.417
2	45.4146
2	45.4146
4	30.408
8	106.156
21	120.04
3	72.4148
2	30.4183
8	54.4043
24	73.1976
30	198.74
7	90.2989
13	225.417
6	139.416
12	225.417
2	30.4183
2	30.4183
31	225.417
24	225.417
2	30.4183
3	70.4148
3	70.4148
5	73.4149
2	30.4183
4	89.4151
12	211.417
8	213.417
9	71.3506
21	44.3853
6	121.415
7	167.416
2	30.4183
5	114.415
9	52.523
2	41.4148
10	86.3721
2	30.4183
15	33.353
2	30.4183
2	30.4183
2	45.4146
6	185.416
14	43.0585
7	73.3097
5	56.2271
21	77.3073
4	49.6411
14	216.31
9	104.869
2	30.4183
24	81.4772
44	217.053
2	30.4183
2	45.4146
10	141.228
10	48.0204
8	147.192
12	54.888
2	30.4183
6	94.7985
15	221.358
8	42.0598
2	45.4146
5	77.522
35	31.7213
11	69.1133
14	122.393
9	120.351
21	140.582
4	51.5602
4	95.4151
